caller	callee
DGifCloseFile	fclose@plt
DGifDecompressInput	fread@plt
DGifDecompressLine	DGifDecompressInput
DGifDecompressLine	__stack_chk_fail@plt
DGifGetCode	__stack_chk_fail@plt
DGifGetCode	fread@plt
DGifGetCodeNext	__stack_chk_fail@plt
DGifGetCodeNext	fread@plt
DGifGetExtension	__stack_chk_fail@plt
DGifGetExtension	fread@plt
DGifGetExtensionNext	__stack_chk_fail@plt
DGifGetExtensionNext	fread@plt
DGifGetImageDesc	GifMakeMapObject
DGifGetImageDesc	__stack_chk_fail@plt
DGifGetImageDesc	calloc@plt
DGifGetImageDesc	fread@plt
DGifGetImageDesc	realloc@plt
DGifGetLZCodes	DGifDecompressInput
DGifGetLZCodes	__stack_chk_fail@plt
DGifGetLZCodes	fread@plt
DGifGetLine	DGifDecompressLine
DGifGetLine	__stack_chk_fail@plt
DGifGetLine	fread@plt
DGifGetPixel	DGifDecompressLine
DGifGetPixel	__stack_chk_fail@plt
DGifGetPixel	fread@plt
DGifGetRecordType	__stack_chk_fail@plt
DGifGetRecordType	fread@plt
DGifGetScreenDesc	DGifGetScreenDesc.part.9
DGifGetScreenDesc	__stack_chk_fail@plt
DGifGetScreenDesc	fread@plt
DGifGetScreenDesc.part.9	GifMakeMapObject
DGifGetScreenDesc.part.9	__stack_chk_fail@plt
DGifGetScreenDesc.part.9	fread@plt
DGifOpen	DGifGetScreenDesc.part.9
DGifOpen	__stack_chk_fail@plt
DGifOpen	calloc@plt
DGifOpen	fread@plt
DGifOpenFileHandle	DGifGetScreenDesc.part.9
DGifOpenFileHandle	__stack_chk_fail@plt
DGifOpenFileHandle	calloc@plt
DGifOpenFileHandle	close@plt
DGifOpenFileHandle	fclose@plt
DGifOpenFileHandle	fdopen@plt
DGifOpenFileHandle	fread@plt
DGifOpenFileName	DGifGetScreenDesc.part.9
DGifOpenFileName	__stack_chk_fail@plt
DGifOpenFileName	calloc@plt
DGifOpenFileName	close@plt
DGifOpenFileName	fclose@plt
DGifOpenFileName	fdopen@plt
DGifOpenFileName	fread@plt
DGifOpenFileName	open@plt
DGifSlurp	DGifDecompressLine
DGifSlurp	DGifGetCodeNext
DGifSlurp	DGifGetExtensionNext
DGifSlurp	DGifGetImageDesc
DGifSlurp	GifAddExtensionBlock
DGifSlurp	__stack_chk_fail@plt
DGifSlurp	calloc@plt
DGifSlurp	fread@plt
DumpFunction	DumpFunction
DumpFunction	DumpString
DumpFunction	__stack_chk_fail@plt
DumpString	__stack_chk_fail@plt
EGifCloseFile	__stack_chk_fail@plt
EGifCloseFile	fclose@plt
EGifCloseFile	fwrite@plt
EGifCompressLine	EGifCompressOutput
EGifCompressLine	memset@plt
EGifCompressOutput	fwrite@plt
EGifGCBToSavedExtension	GifAddExtensionBlock
EGifGCBToSavedExtension	__stack_chk_fail@plt
EGifOpen	calloc@plt
EGifOpen	free@plt
EGifOpen	memset@plt
EGifOpenFileHandle	calloc@plt
EGifOpenFileHandle	fdopen@plt
EGifOpenFileHandle	memset@plt
EGifOpenFileName	calloc@plt
EGifOpenFileName	close@plt
EGifOpenFileName	fdopen@plt
EGifOpenFileName	memset@plt
EGifOpenFileName	open@plt
EGifPutCode	__stack_chk_fail@plt
EGifPutCode	fwrite@plt
EGifPutCodeNext	__stack_chk_fail@plt
EGifPutCodeNext	fwrite@plt
EGifPutComment	__stack_chk_fail@plt
EGifPutComment	fwrite@plt
EGifPutComment	strlen@plt
EGifPutExtension	__stack_chk_fail@plt
EGifPutExtension	fwrite@plt
EGifPutExtensionBlock	__stack_chk_fail@plt
EGifPutExtensionBlock	fwrite@plt
EGifPutExtensionLeader	__stack_chk_fail@plt
EGifPutExtensionLeader	fwrite@plt
EGifPutExtensionTrailer	__stack_chk_fail@plt
EGifPutExtensionTrailer	fwrite@plt
EGifPutImageDesc	EGifCompressOutput
EGifPutImageDesc	GifMakeMapObject
EGifPutImageDesc	__stack_chk_fail@plt
EGifPutImageDesc	fwrite@plt
EGifPutImageDesc	memset@plt
EGifPutPixel	EGifCompressLine
EGifPutScreenDesc	EGifGetGifVersion
EGifPutScreenDesc	GifMakeMapObject
EGifPutScreenDesc	__stack_chk_fail@plt
EGifPutScreenDesc	fwrite@plt
EGifPutScreenDesc	strlen@plt
EGifSpew	EGifCompressLine
EGifSpew	EGifPutImageDesc
EGifSpew	EGifPutScreenDesc
EGifSpew	EGifWriteExtensions.part.8
EGifSpew	__stack_chk_fail@plt
EGifSpew	fclose@plt
EGifSpew	fwrite@plt
EGifWriteExtensions.part.8	__stack_chk_fail@plt
EGifWriteExtensions.part.8	fwrite@plt
GifAddExtensionBlock	calloc@plt
GifAddExtensionBlock	memcpy@plt
GifAddExtensionBlock	realloc@plt
GifDrawBoxedText8x8	memset@plt
GifDrawBoxedText8x8	strlen@plt
GifDrawBoxedText8x8	strtok@plt
GifDrawRectangle	memset@plt
GifMakeMapObject	calloc@plt
GifMakeSavedImage	GifMakeMapObject
GifMakeSavedImage	calloc@plt
GifMakeSavedImage	memcpy@plt
GifMakeSavedImage	realloc@plt
GifQuantizeBuffer	__stack_chk_fail@plt
GifQuantizeBuffer	calloc@plt
GifQuantizeBuffer	qsort@plt
GifUnionColorMap	GifMakeMapObject
GifUnionColorMap	calloc@plt
GifUnionColorMap	realloc@plt
HuffmanTree_fillInCoins	codo_free
HuffmanTree_fillInCoins	codo_realloc
HuffmanTree_makeFromFrequencies	HuffmanTree_fillInCoins
HuffmanTree_makeFromFrequencies	HuffmanTree_makeFromLengths2
HuffmanTree_makeFromFrequencies	__stack_chk_fail@plt
